Category,License,Dependency,Notes
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",com.typesafe # config # 1.3.1,
Apache,"Apache License, Version 2.0 (https://github.com/flyway/flyway/blob/master/LICENSE.txt)",org.flywaydb # flyway-core # 4.0.3,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.zaxxer # HikariCP-java6 # 2.3.7,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalactic # scalactic_2.11 # 3.0.0,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalatest # scalatest_2.11 # 3.0.0,
BSD,BSD (https://github.com/sbt/test-interface/blob/master/LICENSE),org.scala-sbt # test-interface # 1.0,
BSD,BSD 3-Clause (http://www.scala-lang.org/license.html),org.scala-lang # scala-library # 2.11.7,
BSD,BSD 3-Clause (http://www.scala-lang.org/license.html),org.scala-lang # scala-reflect # 2.11.7,
BSD,BSD 3-clause (http://opensource.org/licenses/BSD-3-Clause),org.scala-lang.modules # scala-parser-combinators_2.11 # 1.0.4,
BSD,BSD 3-clause (http://opensource.org/licenses/BSD-3-Clause),org.scala-lang.modules # scala-xml_2.11 # 1.0.5,
BSD,BSD-2-Clause (https://jdbc.postgresql.org/about/license.html),org.postgresql # postgresql # 9.4.1212,
BSD,New BSD License (http://www.opensource.org/licenses/bsd-license.php),org.hamcrest # hamcrest-core # 1.3,
BSD,Two-clause BSD-style license (http://github.com/sbt/junit-interface/blob/master/LICENSE.txt),com.novocode # junit-interface # 0.11,
BSD,Two-clause BSD-style license (http://github.com/slick/slick/blob/master/LICENSE.txt),com.typesafe.slick # slick-codegen_2.11 # 3.1.1,
BSD,Two-clause BSD-style license (http://github.com/slick/slick/blob/master/LICENSE.txt),com.typesafe.slick # slick_2.11 # 3.1.1,
CC0,CC0 (http://creativecommons.org/publicdomain/zero/1.0/),org.reactivestreams # reactive-streams # 1.0.0,
Common Public License,Common Public License Version 1.0 (http://www.opensource.org/licenses/cpl1.0.txt),junit # junit # 4.11,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),org.slf4j # slf4j-api # 1.7.10,
MIT,The MIT License (http://github.com/mockito/mockito/blob/master/LICENSE),org.mockito # mockito-all # 1.10.19,
Mozilla,MPL 1.1 (http://www.mozilla.org/MPL/MPL-1.1.html),org.javassist # javassist # 3.19.0-GA,
